ID,GENE,%COVERAGE,%IDENTITY
Gallibacterium anatis DSM 16844,kdsA,100.0,77.08
Gallibacterium anatis DSM 16844,lpxC,99.67,76.22
Gallibacterium anatis DSM 16844,rfaD,99.68,79.25
Gallibacterium anatis DSM 16844,htpB,97.34,73.42
Gallibacterium anatis DSM 16844,galU,98.2,74.83
Gallibacterium anatis DSM 16844,gmhA/lpcA,98.97,80.31
Gallibacterium anatis DSM 16844,katA,94.13,72.97
Gallibacterium anatis DSM 16844,rfaE,98.18,74.24
Gallibacterium anatis DSM 16844,msbB,89.66,71.25
Gallibacterium anatis DSM 16844,wecA,95.32,70.47
Gallibacterium anatis DSM 16844,galE,99.41,74.1
Chelonobacter oris 1662,lpxA,100.0,72.37
Chelonobacter oris 1662,lpxD,88.01,71.49
Chelonobacter oris 1662,galE,99.21,70.73
Chelonobacter oris 1662,bexB,99.87,73.22
Chelonobacter oris 1662,ctrD,88.33,77.89
Chelonobacter oris 1662,htpB,97.4,70.71
Chelonobacter oris 1662,galU,92.34,70.8
Chelonobacter oris 1662,gmhA/lpcA,98.46,81.25
Chelonobacter oris 1662,katA,93.93,78.55
Chelonobacter oris 1662,rfaD,99.89,78.99
Chelonobacter oris 1662,msbB,95.92,71.23
Chelonobacter oris 1662,lpxC,93.57,74.62
Chelonobacter oris 1662,orfM,94.56,70.35
Chelonobacter oris 1662,rfaE,96.93,73.05
Caviibacterium pharyngocola 7.3,lpxB,97.27,72.08
Caviibacterium pharyngocola 7.3,galE,100.0,75.81
Caviibacterium pharyngocola 7.3,wecA,98.88,75.23
Caviibacterium pharyngocola 7.3,htpB,97.04,71.0
Caviibacterium pharyngocola 7.3,orfM,93.71,72.71
Caviibacterium pharyngocola 7.3,lgtF,96.47,72.85
Caviibacterium pharyngocola 7.3,kdsA,99.88,78.92
Caviibacterium pharyngocola 7.3,rfaD,99.89,78.4
Caviibacterium pharyngocola 7.3,rfaF,97.41,73.47
Caviibacterium pharyngocola 7.3,lpxC,100.0,79.3
Caviibacterium pharyngocola 7.3,msbA,98.3,71.4
Caviibacterium pharyngocola 7.3,kdsB,97.91,73.46
Caviibacterium pharyngocola 7.3,ompP5,96.7,74.7
Caviibacterium pharyngocola 7.3,gmhA/lpcA,98.46,81.77
Caviibacterium pharyngocola 7.3,galU,92.45,76.74
Caviibacterium pharyngocola 7.3,kdkA,87.74,70.47
Caviibacterium pharyngocola 7.3,msbB,97.49,76.31
Caviibacterium pharyngocola 7.3,htrB,82.8,73.38
Caviibacterium pharyngocola 7.3,rfaE,99.44,76.03
Caviibacterium pharyngocola 7.3,lpxA,99.24,75.16
Caviibacterium pharyngocola 7.3,lpxD,98.54,74.51
Conservatibacter flavescens 7.4,wecA,95.79,72.84
Conservatibacter flavescens 7.4,kdsA,98.83,79.76
Conservatibacter flavescens 7.4,galU,98.65,76.86
Conservatibacter flavescens 7.4,bexA,90.37,76.96
Conservatibacter flavescens 7.4,bexB,99.75,71.75
Conservatibacter flavescens 7.4,msbB,93.1,73.81
Conservatibacter flavescens 7.4,kdsB,96.34,70.18
Conservatibacter flavescens 7.4,msbA,98.02,73.12
Conservatibacter flavescens 7.4,htrB,84.19,73.61
Conservatibacter flavescens 7.4,rfaE,98.39,74.86
Conservatibacter flavescens 7.4,lgtF,96.34,72.48
Conservatibacter flavescens 7.4,lpxC,100.0,78.87
Conservatibacter flavescens 7.4,orfM,94.05,75.27
Conservatibacter flavescens 7.4,rfaF,98.17,70.82
Conservatibacter flavescens 7.4,rfaD,98.92,79.37
Conservatibacter flavescens 7.4,htpB,96.85,72.69
Conservatibacter flavescens 7.4,ompP5,93.5,70.45
Conservatibacter flavescens 7.4,lpxD,97.37,76.08
Conservatibacter flavescens 7.4,lpxA,99.24,75.79
Conservatibacter flavescens 7.4,lpxB,96.33,70.56
Conservatibacter flavescens 7.4,galE,97.94,74.9
Conservatibacter flavescens 7.4,gmhA/lpcA,98.46,82.81
Conservatibacter flavescens 7.4,rffG,96.25,70.27
Mergibacter septicus 16309-1-I1,msbA,92.01,70.01
Mergibacter septicus 16309-1-I1,kdsA,98.83,75.98
Mergibacter septicus 16309-1-I1,orfM,97.96,76.22
Mergibacter septicus 16309-1-I1,rfaE,98.53,73.59
Mergibacter septicus 16309-1-I1,bexA,87.92,78.51
Mergibacter septicus 16309-1-I1,ctrC,81.7,72.09
Mergibacter septicus 16309-1-I1,galU,99.89,76.6
Mergibacter septicus 16309-1-I1,lpxA,97.97,75.22
Mergibacter septicus 16309-1-I1,lpxD,96.59,72.0
Mergibacter septicus 16309-1-I1,gmhA/lpcA,96.41,80.85
Mergibacter septicus 16309-1-I1,rfaD,99.14,78.24
Mergibacter septicus 16309-1-I1,htpB,97.34,73.96
Mergibacter septicus 16309-1-I1,lpxC,96.41,77.99
Mergibacter septicus 16309-1-I1,galE,99.21,74.13
Mergibacter septicus 27517-4-I1,htpB,97.16,73.89
Mergibacter septicus 27517-4-I1,lpxC,96.3,78.01
Mergibacter septicus 27517-4-I1,msbA,92.01,70.19
Mergibacter septicus 27517-4-I1,kdsA,98.83,76.21
Mergibacter septicus 27517-4-I1,orfM,97.96,76.39
Mergibacter septicus 27517-4-I1,rfaE,98.53,73.94
Mergibacter septicus 27517-4-I1,bexA,87.92,78.34
Mergibacter septicus 27517-4-I1,ctrC,81.7,72.09
Mergibacter septicus 27517-4-I1,galU,99.89,77.05
Mergibacter septicus 27517-4-I1,lpxA,98.48,75.1
Mergibacter septicus 27517-4-I1,lpxD,96.59,72.4
Mergibacter septicus 27517-4-I1,gmhA/lpcA,96.41,80.67
Mergibacter septicus 27517-4-I1,galE,98.33,74.6
Mergibacter septicus 27517-4-I1,rfaD,99.14,78.89
Frederiksenia canicola DSM 25797,lpxC,96.84,73.15
Frederiksenia canicola DSM 25797,kdsA,96.37,78.52
Frederiksenia canicola DSM 25797,neuA,98.11,72.63
Frederiksenia canicola DSM 25797,lsgE,98.42,70.75
Frederiksenia canicola DSM 25797,lsgF,87.4,72.58
Frederiksenia canicola DSM 25797,galU,99.89,75.14
Frederiksenia canicola DSM 25797,gmhA/lpcA,91.28,84.46
Frederiksenia canicola DSM 25797,msbA,96.6,70.03
Frederiksenia canicola DSM 25797,lpxA,97.85,72.29
Frederiksenia canicola DSM 25797,lgtF,97.65,73.09
Frederiksenia canicola DSM 25797,rfaE,97.9,73.5
Frederiksenia canicola DSM 25797,rfaF,99.23,70.18
Frederiksenia canicola DSM 25797,htpB,97.76,71.52
Frederiksenia canicola DSM 25797,galE,98.92,72.73
Frederiksenia canicola DSM 25797,lpxB,95.4,70.64
Frederiksenia canicola DSM 25797,rfaD,99.35,76.73
Frederiksenia canicola DSM 25797,yhxB/manB,98.67,78.84
Volucribacter psittacicida DSM 15534,lpxD,96.39,75.23
Volucribacter psittacicida DSM 15534,lpxA,99.24,76.73
Volucribacter psittacicida DSM 15534,lpxB,83.29,71.52
Volucribacter psittacicida DSM 15534,msbA,95.58,73.09
Volucribacter psittacicida DSM 15534,kdsA,98.36,78.41
Volucribacter psittacicida DSM 15534,galE,99.61,76.41
Volucribacter psittacicida DSM 15534,kdkA,94.21,70.37
Volucribacter psittacicida DSM 15534,gmhA/lpcA,98.46,81.42
Volucribacter psittacicida DSM 15534,orfM,94.56,74.74
Volucribacter psittacicida DSM 15534,rfaD,99.46,77.16
Volucribacter psittacicida DSM 15534,htpB,97.04,73.45
Volucribacter psittacicida DSM 15534,lpxC,94.99,80.05
Volucribacter psittacicida DSM 15534,bexA,92.2,76.36
Volucribacter psittacicida DSM 15534,rffG,97.24,71.04
Volucribacter psittacicida DSM 15534,wbaP/rfbP,85.24,72.42
Volucribacter psittacicida DSM 15534,msbB,98.43,75.37
Volucribacter psittacicida DSM 15534,htrB,92.09,72.34
Volucribacter psittacicida DSM 15534,rfaE,98.74,74.21
Volucribacter psittacicida DSM 15534,galU,95.38,78.22
Volucribacter psittacicida DSM 15534,wecA,90.26,73.74
Testudinibacter aquarius DSM 28140,htpB,96.98,71.51
Testudinibacter aquarius DSM 28140,katA,93.2,78.15
Testudinibacter aquarius DSM 28140,rfaD,100.0,77.56
Testudinibacter aquarius DSM 28140,lpxA,99.87,74.62
Testudinibacter aquarius DSM 28140,lpxD,89.28,72.77
Testudinibacter aquarius DSM 28140,ctrC,95.24,72.63
Testudinibacter aquarius DSM 28140,ctrD,94.32,76.79
Testudinibacter aquarius DSM 28140,gmhA/lpcA,98.46,77.78
Testudinibacter aquarius DSM 28140,lpxC,100.0,74.95
Testudinibacter aquarius DSM 28140,galU,96.17,72.72
Testudinibacter aquarius DSM 28140,galE,99.12,72.12
Testudinibacter aquarius DSM 28140,rfaE,96.79,72.01
Bisgaardia hudsonensis DSM 28231,rffG,88.56,71.08
Bisgaardia hudsonensis DSM 28231,lpxD,97.76,74.11
Bisgaardia hudsonensis DSM 28231,lpxA,99.62,73.61
Bisgaardia hudsonensis DSM 28231,lpxB,94.54,72.96
Bisgaardia hudsonensis DSM 28231,bexA,97.86,75.23
Bisgaardia hudsonensis DSM 28231,bexB,100.0,72.43
Bisgaardia hudsonensis DSM 28231,kdsA,98.83,80.24
Bisgaardia hudsonensis DSM 28231,galE,98.53,72.19
Bisgaardia hudsonensis DSM 28231,lsgF,84.86,71.2
Bisgaardia hudsonensis DSM 28231,yhxB/manB,92.32,74.9
Bisgaardia hudsonensis DSM 28231,rfaE,99.58,76.27
Bisgaardia hudsonensis DSM 28231,htrB,92.74,71.78
Bisgaardia hudsonensis DSM 28231,kdsB,97.91,75.03
Bisgaardia hudsonensis DSM 28231,msbA,98.53,74.28
Bisgaardia hudsonensis DSM 28231,lpxC,98.91,80.4
Bisgaardia hudsonensis DSM 28231,msbB,97.49,70.22
Bisgaardia hudsonensis DSM 28231,rfaD,100.0,78.32
Bisgaardia hudsonensis DSM 28231,htpB,96.98,74.43
Bisgaardia hudsonensis DSM 28231,orfM,98.81,75.63
Bisgaardia hudsonensis DSM 28231,lgtF,95.95,74.06
Bisgaardia hudsonensis DSM 28231,rfaF,96.93,71.26
Bisgaardia hudsonensis DSM 28231,galU,92.23,77.16
Bisgaardia hudsonensis DSM 28231,luxS,84.78,70.72
Bisgaardia hudsonensis DSM 28231,gmhA/lpcA,98.29,86.96
Bisgaardia hudsonensis DSM 28231,wecA,96.54,75.84
Avibacterium gallinarum DSM 17481,ompP5,96.33,72.07
Avibacterium gallinarum DSM 17481,kdsB,97.91,71.28
Avibacterium gallinarum DSM 17481,msbA,98.36,72.96
Avibacterium gallinarum DSM 17481,bexA,90.21,73.56
Avibacterium gallinarum DSM 17481,lpxC,100.0,80.5
Avibacterium gallinarum DSM 17481,lpxB,97.27,74.58
Avibacterium gallinarum DSM 17481,lpxA,99.49,76.67
Avibacterium gallinarum DSM 17481,lpxD,99.03,76.48
Avibacterium gallinarum DSM 17481,lgtF,90.85,74.11
Avibacterium gallinarum DSM 17481,gmhA/lpcA,98.46,83.33
Avibacterium gallinarum DSM 17481,katA,91.29,76.14
Avibacterium gallinarum DSM 17481,kdsA,99.42,79.77
Avibacterium gallinarum DSM 17481,lsgE,98.19,70.47
Avibacterium gallinarum DSM 17481,orfM,97.96,74.91
Avibacterium gallinarum DSM 17481,htpB,97.34,71.82
Avibacterium gallinarum DSM 17481,rfaF,97.89,71.91
Avibacterium gallinarum DSM 17481,rfaD,99.14,78.45
Avibacterium gallinarum DSM 17481,galU,92.12,75.48
Avibacterium gallinarum DSM 17481,htrB,96.15,72.4
Avibacterium gallinarum DSM 17481,rfaE,98.46,76.11
Avibacterium gallinarum DSM 17481,hcp-2,98.46,71.02
Avibacterium gallinarum DSM 17481,msbB,97.39,74.47
Avibacterium gallinarum DSM 17481,wecA,97.47,74.64
Avibacterium gallinarum DSM 17481,galE,99.8,75.96
Mergibacter septicus 27643-20-I1,lpxC,96.41,78.1
Mergibacter septicus 27643-20-I1,galE,98.33,74.6
Mergibacter septicus 27643-20-I1,msbA,92.01,70.01
Mergibacter septicus 27643-20-I1,kdsA,98.83,76.33
Mergibacter septicus 27643-20-I1,orfM,97.96,76.22
Mergibacter septicus 27643-20-I1,rfaE,98.6,73.85
Mergibacter septicus 27643-20-I1,bexA,87.92,77.99
Mergibacter septicus 27643-20-I1,ctrC,81.7,72.39
Mergibacter septicus 27643-20-I1,galU,99.89,76.94
Mergibacter septicus 27643-20-I1,lpxA,98.48,74.97
Mergibacter septicus 27643-20-I1,lpxD,96.59,72.2
Mergibacter septicus 27643-20-I1,gmhA/lpcA,96.41,80.67
Mergibacter septicus 27643-20-I1,rfaD,99.14,78.45
Mergibacter septicus 27643-20-I1,htpB,97.52,74.22
Mergibacter septicus 27576-1-I1,htpB,97.16,73.89
Mergibacter septicus 27576-1-I1,lpxC,96.3,78.01
Mergibacter septicus 27576-1-I1,msbA,92.01,70.19
Mergibacter septicus 27576-1-I1,kdsA,98.83,76.21
Mergibacter septicus 27576-1-I1,orfM,97.96,76.39
Mergibacter septicus 27576-1-I1,rfaE,98.53,73.94
Mergibacter septicus 27576-1-I1,bexA,87.92,78.34
Mergibacter septicus 27576-1-I1,ctrC,81.7,72.09
Mergibacter septicus 27576-1-I1,galU,99.89,77.05
Mergibacter septicus 27576-1-I1,lpxA,98.48,75.1
Mergibacter septicus 27576-1-I1,lpxD,96.59,72.4
Mergibacter septicus 27576-1-I1,gmhA/lpcA,96.41,80.67
Mergibacter septicus 27576-1-I1,galE,98.33,74.6
Mergibacter septicus 27576-1-I1,rfaD,99.14,78.89
Frederiksenia canicola HPA 21,kdsA,96.37,78.52
Frederiksenia canicola HPA 21,lpxC,96.84,73.15
Frederiksenia canicola HPA 21,rfaF,99.23,70.18
Frederiksenia canicola HPA 21,rfaD,99.35,76.73
Frederiksenia canicola HPA 21,yhxB/manB,98.67,78.84
Frederiksenia canicola HPA 21,lpxB,95.4,70.64
Frederiksenia canicola HPA 21,galE,98.92,72.73
Frederiksenia canicola HPA 21,htpB,97.76,71.52
Frederiksenia canicola HPA 21,rfaE,97.9,73.5
Frederiksenia canicola HPA 21,lgtF,97.65,73.09
Frederiksenia canicola HPA 21,lpxA,97.85,72.29
Frederiksenia canicola HPA 21,msbA,96.6,70.03
Frederiksenia canicola HPA 21,gmhA/lpcA,91.28,84.46
Frederiksenia canicola HPA 21,galU,99.89,75.14
Frederiksenia canicola HPA 21,lsgF,87.4,72.58
Frederiksenia canicola HPA 21,lsgE,98.42,70.75
Frederiksenia canicola HPA 21,neuA,98.11,72.63
Bisgaardia hudsonensis M327/99/2,rfaD,100.0,78.32
Bisgaardia hudsonensis M327/99/2,htpB,96.98,74.43
Bisgaardia hudsonensis M327/99/2,rffG,88.56,71.08
Bisgaardia hudsonensis M327/99/2,lpxD,97.76,74.11
Bisgaardia hudsonensis M327/99/2,lpxA,99.62,73.61
Bisgaardia hudsonensis M327/99/2,lpxB,94.54,72.96
Bisgaardia hudsonensis M327/99/2,bexA,97.86,75.23
Bisgaardia hudsonensis M327/99/2,bexB,100.0,72.43
Bisgaardia hudsonensis M327/99/2,htrB,92.74,71.78
Bisgaardia hudsonensis M327/99/2,rfaE,99.58,76.27
Bisgaardia hudsonensis M327/99/2,yhxB/manB,92.32,74.9
Bisgaardia hudsonensis M327/99/2,lsgF,84.86,71.2
Bisgaardia hudsonensis M327/99/2,galE,98.53,72.19
Bisgaardia hudsonensis M327/99/2,kdsA,98.83,80.24
Bisgaardia hudsonensis M327/99/2,wecA,96.54,75.84
Bisgaardia hudsonensis M327/99/2,kdsB,97.91,75.03
Bisgaardia hudsonensis M327/99/2,msbA,98.53,74.28
Bisgaardia hudsonensis M327/99/2,lpxC,98.91,80.4
Bisgaardia hudsonensis M327/99/2,msbB,97.49,70.22
Bisgaardia hudsonensis M327/99/2,gmhA/lpcA,98.29,86.96
Bisgaardia hudsonensis M327/99/2,orfM,98.81,75.63
Bisgaardia hudsonensis M327/99/2,lgtF,95.95,74.06
Bisgaardia hudsonensis M327/99/2,luxS,84.78,70.72
Bisgaardia hudsonensis M327/99/2,galU,92.23,77.16
Bisgaardia hudsonensis M327/99/2,rfaF,96.93,71.26
Mergibacter septicus Bisgaard 25201,galE,98.33,74.6
Mergibacter septicus Bisgaard 25201,gmhA/lpcA,96.41,80.67
Mergibacter septicus Bisgaard 25201,lpxD,96.59,72.4
Mergibacter septicus Bisgaard 25201,lpxA,98.48,75.1
Mergibacter septicus Bisgaard 25201,galU,99.89,76.97
Mergibacter septicus Bisgaard 25201,ctrC,81.7,72.09
Mergibacter septicus Bisgaard 25201,bexA,87.92,78.34
Mergibacter septicus Bisgaard 25201,rfaE,98.53,73.94
Mergibacter septicus Bisgaard 25201,orfM,97.96,76.39
Mergibacter septicus Bisgaard 25201,kdsA,98.83,76.21
Mergibacter septicus Bisgaard 25201,msbA,92.01,70.19
Mergibacter septicus Bisgaard 25201,lpxC,96.3,78.01
Mergibacter septicus Bisgaard 25201,htpB,97.16,73.89
Mergibacter septicus Bisgaard 25201,rfaD,99.14,78.89
Pasteurella testudinis  DSM 23072,lpxD,84.89,71.64
Pasteurella testudinis  DSM 23072,lpxA,100.0,71.61
Pasteurella testudinis  DSM 23072,katA,93.73,78.82
Pasteurella testudinis  DSM 23072,rfaD,100.0,79.07
Pasteurella testudinis  DSM 23072,galU,96.73,72.19
Pasteurella testudinis  DSM 23072,rfaE,98.46,72.62
Pasteurella testudinis  DSM 23072,htrB,92.95,70.41
Pasteurella testudinis  DSM 23072,galE,99.71,73.04
Pasteurella testudinis  DSM 23072,gmhA/lpcA,98.46,80.56
Pasteurella testudinis  DSM 23072,hcp-2,98.07,70.32
Pasteurella testudinis  DSM 23072,msbB,92.37,70.32
Pasteurella testudinis  DSM 23072,htpB,97.64,70.52
Pasteurella testudinis  DSM 23072,lpxC,96.95,72.76
Pasteurella testudinis  DSM 23072,bexA,86.54,76.86
Pasteurella testudinis  DSM 23072,bexB,99.5,71.07
Pasteurella testudinis  DSM 23072,lgtF,93.73,71.64
Avibacterium gallinarum NCTC11188,lgtF,90.85,74.11
Avibacterium gallinarum NCTC11188,lpxD,99.03,76.48
Avibacterium gallinarum NCTC11188,lpxA,99.49,76.67
Avibacterium gallinarum NCTC11188,lpxB,97.27,74.58
Avibacterium gallinarum NCTC11188,lpxC,100.0,80.5
Avibacterium gallinarum NCTC11188,galE,99.8,75.96
Avibacterium gallinarum NCTC11188,wecA,97.47,74.64
Avibacterium gallinarum NCTC11188,htrB,96.15,72.4
Avibacterium gallinarum NCTC11188,rfaE,98.46,76.11
Avibacterium gallinarum NCTC11188,msbB,97.39,74.47
Avibacterium gallinarum NCTC11188,hcp-2,98.46,71.02
Avibacterium gallinarum NCTC11188,lsgE,98.19,70.47
Avibacterium gallinarum NCTC11188,kdsA,99.42,79.77
Avibacterium gallinarum NCTC11188,ompP5,96.33,72.07
Avibacterium gallinarum NCTC11188,kdsB,97.91,71.28
Avibacterium gallinarum NCTC11188,msbA,98.36,72.96
Avibacterium gallinarum NCTC11188,bexA,90.21,73.56
Avibacterium gallinarum NCTC11188,htpB,97.34,71.82
Avibacterium gallinarum NCTC11188,orfM,97.96,74.91
Avibacterium gallinarum NCTC11188,galU,92.12,75.48
Avibacterium gallinarum NCTC11188,rfaD,99.14,78.45
Avibacterium gallinarum NCTC11188,rfaF,97.89,71.91
Avibacterium gallinarum NCTC11188,katA,91.29,76.14
Avibacterium gallinarum NCTC11188,gmhA/lpcA,98.46,83.33
Pasteurella testudinis NCTC12150,katA,93.73,78.82
Pasteurella testudinis NCTC12150,lpxC,96.95,72.76
Pasteurella testudinis NCTC12150,htpB,97.64,70.52
Pasteurella testudinis NCTC12150,msbB,92.37,70.32
Pasteurella testudinis NCTC12150,htrB,92.95,70.41
Pasteurella testudinis NCTC12150,rfaE,98.46,72.62
Pasteurella testudinis NCTC12150,galE,99.71,73.04
Pasteurella testudinis NCTC12150,gmhA/lpcA,98.46,80.56
Pasteurella testudinis NCTC12150,bexA,86.54,76.86
Pasteurella testudinis NCTC12150,bexB,99.5,71.07
Pasteurella testudinis NCTC12150,hcp-2,98.07,70.32
Pasteurella testudinis NCTC12150,lpxA,100.0,71.61
Pasteurella testudinis NCTC12150,lpxD,84.89,71.64
Pasteurella testudinis NCTC12150,lgtF,93.73,71.64
Pasteurella testudinis NCTC12150,galU,96.73,72.19
Pasteurella testudinis NCTC12150,rfaD,100.0,79.07
Pasteurella multocida NCTC10323,htpB,96.73,72.36
Pasteurella multocida NCTC10323,yhxB/manB,98.61,79.56
Pasteurella multocida NCTC10323,htrB,98.82,73.31
Pasteurella multocida NCTC10323,rfaE,99.58,77.5
Pasteurella multocida NCTC10323,msbA,98.47,73.67
Pasteurella multocida NCTC10323,lpxK,80.78,70.91
Pasteurella multocida NCTC10323,kdsB,97.65,71.22
Pasteurella multocida NCTC10323,ctrD,83.1,71.35
Pasteurella multocida NCTC10323,kdsA,100.0,78.83
Pasteurella multocida NCTC10323,lsgF,90.59,72.45
Pasteurella multocida NCTC10323,wecA,98.13,75.95
Pasteurella multocida NCTC10323,msbB,92.27,73.91
Pasteurella multocida NCTC10323,galE,100.0,78.37
Pasteurella multocida NCTC10323,lpxC,99.67,81.76
Pasteurella multocida NCTC10323,gmhA/lpcA,90.77,85.69
Pasteurella multocida NCTC10323,lpxB,97.02,73.38
Pasteurella multocida NCTC10323,lpxA,100.0,73.26
Pasteurella multocida NCTC10323,lpxD,97.56,78.2
Pasteurella multocida NCTC10323,rfaF,97.31,76.95
Pasteurella multocida NCTC10323,galU,96.28,79.3
Pasteurella multocida NCTC10323,lgtF,95.42,73.61
Pasteurella multocida NCTC10323,rfaD,100.0,80.71
Pasteurella multocida NCTC10323,orfM,98.98,76.77
Spirabiliibacterium mucosae strain 20609_3,katA,93.66,80.27
Spirabiliibacterium mucosae strain 20609_3,bexA,93.27,73.7
Spirabiliibacterium mucosae strain 20609_3,lpxC,99.89,70.29
Spirabiliibacterium mucosae strain 20609_3,lpxA,100.0,71.99
Spirabiliibacterium mucosae strain 20609_3,luxS,81.89,72.06
Spirabiliibacterium mucosae strain 20609_3,rfaD,99.68,76.41
Spirabiliibacterium pneumoniae strain HPA106,katA,94.65,77.96
Spirabiliibacterium pneumoniae strain HPA106,rfaE,98.25,70.04
Spirabiliibacterium pneumoniae strain HPA106,htpB,97.04,72.15
Spirabiliibacterium pneumoniae strain HPA106,lpxA,99.62,73.36
Spirabiliibacterium pneumoniae strain HPA106,lpxC,99.89,72.14
Spirabiliibacterium pneumoniae strain HPA106,galU,98.54,71.01
Spirabiliibacterium pneumoniae strain HPA106,rfaD,99.57,76.97
Spirabiliibacterium falconis strain NCTC,galE,98.72,72.38
Spirabiliibacterium falconis strain NCTC,bexA,92.97,77.27
Spirabiliibacterium falconis strain NCTC,ctrC,97.24,71.41
Spirabiliibacterium falconis strain NCTC,gmhA/lpcA,98.97,77.89
Spirabiliibacterium falconis strain NCTC,galU,95.83,71.98
Spirabiliibacterium falconis strain NCTC,msbA,94.39,70.23
Spirabiliibacterium falconis strain NCTC,htpB,95.89,72.35
Spirabiliibacterium falconis strain NCTC,lpxA,99.37,74.06
Spirabiliibacterium falconis strain NCTC,lpxC,99.89,74.65
Spirabiliibacterium falconis strain NCTC,rfaD,99.68,78.46
Spirabiliibacterium mucosae TN_CUL_2021,katA,93.66,80.27
Spirabiliibacterium mucosae TN_CUL_2021,ctrC,93.11,70.12
Spirabiliibacterium mucosae TN_CUL_2021,ctrD,91.86,75.58
Spirabiliibacterium mucosae TN_CUL_2021,rfaD,99.68,76.41
Spirabiliibacterium mucosae TN_CUL_2021,lpxC,99.89,70.29
Spirabiliibacterium mucosae TN_CUL_2021,lpxA,100.0,72.12
Spirabiliibacterium mucosae TN_CUL_2021,luxS,82.08,71.76
Spirabiliibacterium hepatis CVDC_rough,lpxA,100.0,72.12
Spirabiliibacterium hepatis CVDC_rough,lpxC,99.89,70.84
Spirabiliibacterium hepatis CVDC_rough,ctrD,97.85,75.04
Spirabiliibacterium hepatis CVDC_rough,ctrC,91.98,71.58
Spirabiliibacterium hepatis CVDC_rough,katA,93.66,79.35
Spirabiliibacterium hepatis CVDC_rough,htpB,98.06,70.92
Spirabiliibacterium hepatis CVDC_rough,rfaD,99.57,76.65
Spirabiliibacterium hepatis CVDC_smooth,lpxC,99.89,70.84
Spirabiliibacterium hepatis CVDC_smooth,lpxA,100.0,72.12
Spirabiliibacterium hepatis CVDC_smooth,rfaD,99.57,76.65
Spirabiliibacterium hepatis CVDC_smooth,htpB,98.06,70.92
Spirabiliibacterium hepatis CVDC_smooth,katA,93.66,79.35
Spirabiliibacterium hepatis CVDC_smooth,ctrC,91.98,71.58
Spirabiliibacterium hepatis CVDC_smooth,ctrD,97.85,75.04
